carat;depth;table;price;quality
0.23;61.5;55.0;326;Ideal
0.21;59.8;61.0;326;Premium
0.23;56.9;65.0;327;Good
0.29;62.4;58.0;334;Premium
0.31;63.3;58.0;335;Good
0.24;62.8;57.0;336;Very Good
0.24;62.3;57.0;336;Very Good
0.26;61.9;55.0;337;Very Good
0.22;65.1;61.0;337;Fair
0.23;59.4;61.0;338;Very Good
0.3;64.0;55.0;339;Good
0.23;62.8;56.0;340;Ideal
0.22;60.4;61.0;342;Premium
0.31;62.2;54.0;344;Ideal
0.2;60.2;62.0;345;Premium
0.32;60.9;58.0;345;Premium
0.3;62.0;54.0;348;Ideal
0.3;63.4;54.0;351;Good
0.3;63.8;56.0;351;Good
0.3;62.7;59.0;351;Very Good
0.3;63.3;56.0;351;Good
0.23;63.8;55.0;352;Very Good
0.23;61.0;57.0;353;Very Good
0.31;59.4;62.0;353;Very Good
0.31;58.1;62.0;353;Very Good
0.23;60.4;58.0;354;Very Good
0.24;62.5;57.0;355;Premium
0.3;62.2;57.0;357;Very Good
0.23;60.5;61.0;357;Very Good
0.23;60.9;57.0;357;Very Good
0.23;60.0;57.0;402;Very Good
0.23;59.8;57.0;402;Very Good
0.23;60.7;59.0;402;Very Good
0.23;59.5;58.0;402;Very Good
0.23;61.9;58.0;402;Very Good
0.23;58.2;59.0;402;Good
0.23;64.1;59.0;402;Good
0.31;64.0;54.0;402;Good
0.26;60.8;59.0;403;Very Good
0.33;61.8;55.0;403;Ideal
0.33;61.2;56.0;403;Ideal
0.33;61.1;56.0;403;Ideal
0.26;65.2;56.0;403;Good
0.26;58.4;63.0;403;Good
0.32;63.1;56.0;403;Good
0.29;62.4;58.0;403;Premium
0.32;61.8;55.0;403;Very Good
0.32;63.8;56.0;403;Good
0.25;63.3;60.0;404;Very Good
0.29;60.7;60.0;404;Very Good
0.24;60.9;61.0;404;Very Good
0.23;61.9;54.0;404;Ideal
0.32;60.9;55.0;404;Ideal
0.22;61.6;58.0;404;Premium
0.22;59.3;62.0;404;Premium
0.3;61.0;59.0;405;Ideal
0.3;59.3;61.0;405;Premium
0.3;62.6;57.0;405;Very Good
0.3;63.0;57.0;405;Very Good
0.3;63.2;55.0;405;Good
0.35;60.9;57.0;552;Ideal
0.3;62.6;59.0;552;Premium
0.3;62.5;57.0;552;Ideal
0.3;62.1;56.0;552;Ideal
0.42;61.5;59.0;552;Premium
0.28;61.4;56.0;553;Ideal
0.32;62.0;55.3;553;Ideal
0.31;63.3;57.0;553;Very Good
0.31;61.8;58.0;553;Premium
0.24;60.7;58.0;553;Premium
