Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
1329536,323589,1627,82,26.06
1299699,329041,1521,82.12,26.92
1382905,339253,1476,82.72,26.27
1419128,348223,1557,83,26.08
1368074,337561,1339,82.46,26.31
1404580,365892,1465,82.6,26.84
1478712,359817,1778,82.79,26.14
1486909,336765,1974.7,90.6,27.1
1547499,295212,1688.7,69.48,28.9
1314165,315131,1296.8,68.75,29.2
1246614,367636,1507.2,70.66,29.4
1350748,370966,1097,80.84,29.4
1411650,337893,710.5,79.5,26.8
1552078,320789,506.5,80.8,26.73
1556858,360717,1414,81.5,26.38
1402287,329109,1270.4,78.5,27
1533369,359375,1577,78.7,26.9
1788738,352281,1986,81.4,27.1
1772962,380686,1268,79.4,27.1
1582393,387803,1098,79.6,26.9
2331046,419183,1623.6,80.7,27
1820062,376137,2264.4,78.3,27.1
1956940,461060,1575,80,27.1
2180754,293067,1096,83.32,27.12
2478922,294483,1905.9,85.57,26.51
1751996.94,329515.78,1427.8,83.98,26.48
1714437.6,310012.46,1931.4,83.9,26.65
1861567.1,317869.41,1619.2,80.82,25.41
2918152,754569,2549.4,83.8,26.45
3079960,792534,2166.5,83.79,26.4
3134533,795183,2917.1,81.68,26.58
3136760,790051,2326.5,81.31,26.33
3212208,797545,1865,81.81,26.4
3321049,823749,2496.9,83.53,27.16
3451430,838626,3087.3,84.56,26.45
3514253,847610,1289.5,82.94,27.7
3291515,801948,3595.3,72.78,28.03
3153305,765161,1944.9,72.31,28.45
3403075,825188,3140.2,72.08,29.59
3418782,826091,2406.9,80.79,29.27
3447394,822073,776.7,83.8,27
3007636,705023,222.5,81,27.8
3265834,750232,2513,82,27
3340794,748540,2442,81.4,26.9
3527899,768407,2184,86,27.1
3582302,754674,1903.3,78.55,27.18
3607403,757547,2042,79,27.2
3715514,765099,3175,76,27.3
3727249,742968,2627,78.67,28.8
3631039,717318,2148,79,27.9
4044829,781769,975.9,86.9,27.4
4387035.9,423029,2384,82,27.65
4669777.5,415675,3190,84,27.5
2108284.72,408176.45,2431,80,26.41
2078901.59,413141.24,1401.6,86.53,27.03
2076280.01,388591.22,1648.3,83.76,25.79
1806424,394412,5110,89.77,24.7
1747543,382740,4869.5,75.22,24.49
1829192,400627,5022,87.68,24.82
1971180,430343,3866,87.29,24.52
1787719,395728,2945.1,87.97,24.69
1807622,412810,5522,87.39,25.04
1897678,432254,4327.5,80.89,22.48
1759059,396919,3040.6,86.01,25.86
1668955,376710,2811,71.08,28.17
1875834,424253,4241.2,71.28,28.19
1823739,411860,4927.2,71.91,29.17
1875188,422582,4584.2,78.5,29.02
1907390,426950,1533.6,78,25.9
1889489,417846,776,79,26.05
1938120,423655,4329,85.3,25.7
1965634,421902,2552.5,86.2,25.4
2105790,439542,4691,86.2,25.5
2211248,460497,5228,87.2,25.8
2279602,461709,4959.5,54.2,26
2368390,476422,4339,87,25.2
2430384,487820,4627.9,86.91,25.1
2519020,503198,2838.4,85.35,25.7
2550609,507545,3548,84,26.5
2487929,222482,4205.2,76.49,23.26
2810425,222021,4553,75.11,22.19
1483076.48,313050.82,327.33,82.71,26.91
1482996.01,311671.23,4757.5,87.73,25.61
1450839.74,295664.47,4072.7,85.22,26.26
436297,146133,2738.4,86.37,26
445361,146177,1991.3,84.9,26.1
458756,152204,3099.9,85.02,26.17
461905,150354,2259.5,84.26,25.94
416135,137953,1510.4,83.82,26.26
370124,126280,2233,84.26,26.73
461630,155683,2045.3,84.59,26.08
431351,141640,2478.2,84.6,25.98
413391,132507,2441.7,70.79,29.05
396644,129025,3123.8,71.73,28.2
414237,132887,3822.8,72.92,29.64
454186,145239,2540.1,83.7,29.85
424095,134418,1996.3,83.93,26.58
42938,136177,537.6,79.6,27.7
490087,147167,3216.3,85.3,27.1
494260,147796,3026.2,80.2,27.4
531429,149423,3390,76.2,27.7
574864,156088,3390,76.2,27.7
535788,145242,2405,74.5,27
512152,144015,2636,76.1,27.3
434144,118518,2628,76,26
385475,106037,2343,78.1,27.2
393917,107546,2048.3,80.5,27.2
325826,72151,2105.6,83.72,27
337421,70016,2982.9,84.76,26.7
266375.53,71448.08,1837.1,71.22,25
230873.97,63142.04,1608.3,83.77,26.91
269344.05,64733.13,2584.9,81.8,25.93
607529,199431,1954,83.81,26.29
564722,184029,1824,81.25,25.51
593502,193666,2290.1,83.96,26.22
657650,215975,2309.1,83.6,26
572269,190608,1030.1,80.64,26.5
550277,178766,2383.8,83.47,26.78
553641,178307,2429.3,83.25,26.34
536779,171395,840.3,84.85,27.76
556564,164826,2515.2,72.4,28.12
