invoice_id,Cabang,Kota,Tipe_Anggota,Gender,Product_line,Harga_Satuan,Kuantitas,Pajak,Total,Date,Payment
750-67-8428,A,Yangon,Member,Female,"Health and beauty",74.69,7,26.1415,548.9715,01/05/2019,Ewallet
226-31-3081,C,Naypyitaw,Normal,Female,"Electronic accessories",15.28,5,3.82,80.22,03/08/2019,Cash
631-41-3108,A,Yangon,Normal,Male,"Home and lifestyle",46.33,7,16.2155,340.5255,03/03/2019,"Credit card"
123-19-1176,A,Yangon,Member,Male,"Health and beauty",58.22,8,23.288,489.048,1/27/2019,Ewallet
373-73-7910,A,Yangon,Normal,Male,"Sports and travel",86.31,7,30.2085,634.3785,02/08/2019,Ewallet
699-14-3026,C,Naypyitaw,Normal,Male,"Electronic accessories",85.39,7,29.8865,627.6165,3/25/2019,Ewallet
355-53-5943,A,Yangon,Member,Female,"Electronic accessories",68.84,6,20.652,433.692,2/25/2019,Ewallet
315-22-5665,C,Naypyitaw,Normal,Female,"Home and lifestyle",73.56,10,36.78,772.38,2/24/2019,Ewallet
665-32-9167,A,Yangon,Member,Female,"Health and beauty",36.26,2,3.626,76.146,01/10/2019,"Credit card"
692-92-5582,B,Mandalay,Member,Female,"Food and beverages",54.84,3,8.226,172.746,2/20/2019,"Credit card"
351-62-0822,B,Mandalay,Member,Female,"Fashion accessories",14.48,4,2.896,60.816,02/06/2019,Ewallet
529-56-3974,B,Mandalay,Member,Male,"Electronic accessories",25.51,4,5.102,107.142,03/09/2019,Cash
365-64-0515,A,Yangon,Normal,Female,"Electronic accessories",46.95,5,11.7375,246.4875,02/12/2019,Ewallet
252-56-2699,A,Yangon,Normal,Male,"Food and beverages",43.19,10,21.595,453.495,02/07/2019,Ewallet
829-34-3910,A,Yangon,Normal,Female,"Health and beauty",71.38,10,35.69,749.49,3/29/2019,Cash
299-46-1805,B,Mandalay,Member,Female,"Sports and travel",93.72,6,28.116,590.436,1/15/2019,Cash
656-95-9349,A,Yangon,Member,Female,"Health and beauty",68.93,7,24.1255,506.6355,03/11/2019,"Credit card"
765-26-6951,A,Yangon,Normal,Male,"Sports and travel",72.61,6,21.783,457.443,01/01/2019,"Credit card"
329-62-1586,A,Yangon,Normal,Male,"Food and beverages",54.67,3,8.2005,172.2105,1/21/2019,"Credit card"
319-50-3348,B,Mandalay,Normal,Female,"Home and lifestyle",40.3,2,4.03,84.63,03/11/2019,Ewallet
300-71-4605,C,Naypyitaw,Member,Male,"Electronic accessories",86.04,5,21.51,451.71,2/25/2019,Ewallet
371-85-5789,B,Mandalay,Normal,Male,"Health and beauty",87.98,3,13.197,277.137,03/05/2019,Ewallet
273-16-6619,B,Mandalay,Normal,Male,"Home and lifestyle",33.2,2,3.32,69.72,3/15/2019,"Credit card"
636-48-8204,A,Yangon,Normal,Male,"Electronic accessories",34.56,5,8.64,181.44,2/17/2019,Ewallet
549-59-1358,A,Yangon,Member,Male,"Sports and travel",88.63,3,13.2945,279.1845,03/02/2019,Ewallet
227-03-5010,A,Yangon,Member,Female,"Home and lifestyle",52.59,8,21.036,441.756,3/22/2019,"Credit card"
