Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
Fashion as Design,4.8,Beginner level,Flexible schedule,Not specified,"Art History, Art, History, Creativity",20,2813
Modern American Poetry,4.4,Beginner level,Flexible schedule,Not specified,Not specified,34,100
Pixel Art for Video Games,4.5,Beginner level,Flexible schedule,Not specified,Not specified,9,227
Distribución digital de la música independiente,0,Beginner level,Flexible schedule,Not specified,Not specified,8,0
The Blues: Understanding and Performing an American Art Form,4.8,Beginner level,Flexible schedule,Students will be able to describe the blues as an important musical form. Students will be able to explain differences in jazz and other variations of the blues. ,"Music, Chord, Jazz, Jazz Improvisation",11,582
So You Think You Know Tango?,4.6,Beginner level,Flexible schedule,"Gain an appreciation for the Argentine Tango as a multidimensional art form, including music, dance, and poetry.List the components that make a tango.Eexplore the tango as a living art form today and how it can be used to cross cultural boundaries and stereotypes.",Not specified,5,107
The Politics of Skepticism,4.5,Intermediate level,Flexible schedule,Not specified,Not specified,13,38
Становлення сучасної України,0,Beginner level,Flexible schedule,Not specified,Not specified,23,0
Exploring Beethoven's Piano Sonatas Part 4,4.9,Intermediate level,Flexible schedule,Not specified,Not specified,5,63
悖论：思维的魔方,4.8,Beginner level,Flexible schedule,Not specified,Not specified,44,39
拍摄：像剪辑师一样拍摄,4.8,Not specified,Flexible schedule,Not specified,Not specified,10,21
In the Studio: Postwar Abstract Painting,4.9,Beginner level,Flexible schedule,Not specified,"Art History, Art, History, Color Theory",26,1421
Philosophy of Science,4.7,Intermediate level,Flexible schedule,Not specified,Not specified,12,208
Basic Elements of Design: Design Principles and Software Overview,4.7,Beginner level,Flexible schedule,"Recognize ways to work with graphic designers and other creative professionals. Understand the history and design process of the graphic design profession.Compare the concepts of balance, proximity, alignment, repetition, contrast and space.Discover the use of white space to develop shape, form, and structure in graphic projects.","Print Design, online design, Color Theory, Graphic Design, textual elements",10,925
"Online Games: Literature, New Media, and Narrative",4.6,Beginner level,Flexible schedule,Not specified,Not specified,21,179
Concept Art for Video Games,4.6,Not specified,Flexible schedule,Not specified,Not specified,6,66
The History of Modern Israel -  Part II: Challenges of Israel as a sovereign state,4.8,Beginner level,Flexible schedule,Not specified,Not specified,11,328
Shaping Urban Futures,4.7,Intermediate level,Flexible schedule,Not specified,"Urban sciences, Urban research, Knowledge generation through research",21,28
中国哲学经典著作导读,4.5,Not specified,Flexible schedule,Not specified,Not specified,17,267
Cultura Maya en Yucatán,0,Beginner level,Flexible schedule,"Conocerás los aspectos fundamentales de la Cultura Maya, los personajes  históricos así como su arquitectura y sus avances científicos.",Not specified,14,0
Antisemitismo: Desde sus orígenes hasta el presente,4.9,Beginner level,Flexible schedule,A debatir qué es el antisemitismo y qué tiene de únicoA explicar las raíces históricas e ideológicas del antisemitismo y cómo se ha desarrollado ésteA debatir las características del antisemitismo en el presente díaA identificar el lenguaje y las acciones antisemitas en el pasado y en el presente,"Holocaust, Middle East, Israel, defeatism",21,15
"Herencia negra, aplicación de ritmos afroperuanos",0,Beginner level,Flexible schedule,Not specified,"Musical Notation, Musical Composition",16,0
Storytelling y medios digitales,0,Beginner level,Flexible schedule,Not specified,Not specified,8,0
游戏产业概论,3.5,Beginner level,Flexible schedule,Not specified,Not specified,20,66
Overcoming  Challenges in Self and Society,0,Beginner level,Flexible schedule,Not specified,Not specified,18,0
Proyecto final de Músico moderno,4.6,Not specified,Flexible schedule,Not specified,Not specified,9,23
"Internal Displacement, Conflict and Protection",4.9,Beginner level,Flexible schedule,Not specified,"•\tPractice navigating online in order to engage with specialised resources, •\tLearn to apply technical legal and policy categories to factual scenarios, •\tLearn to engage with technical concepts, •\tPractice sifting complex factual information to identify important features and trends, •\tPractice evaluating on-the-ground problems to identify pertinent solutions",27,48
"Health, Society, and Wellness in COVID-19 Times ",4.6,Beginner level,Flexible schedule,"You will explore perspectives on disease and society and on systemic racism and inequality with scholars across disciplines.You will explore the science and practice of individual and community wellness. You will learn skills relevant to emotions, relationships, common mental health concerns, and learning in the age of Zoom and remote classes. You will learn practices of cooperation, compassion, and anti-racism for community wellness.","Education, COVID-19, health, Public Health, Health Care",52,14
Indigenous Canada,4.8,Not specified,Flexible schedule,Not specified,"Art, History, Indigenous Studies, Human Rights and Allyship, Politics",21,21648
Graphic Design Specialization,4.7,Beginner level,Flexible schedule,"Gain the fundamental skills needed to be a graphic designerCommunicate through image-making and typographyComplete a capstone project to add to your professional portfolioLearn everything you need to know to work in interface design, motion graphics, and editorial design","Art History, Branding Communication, Visual Communication, Typography, Graphic Design",80,16128
UI / UX Design Specialization,4.7,Beginner level,Flexible schedule,Not specified,"User Research, Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX)",80,6772
Creative Writing Specialization,4.7,Beginner level,Flexible schedule,Not specified,"Short Story Writing, Fiction Writing, Creativity, Copy Editing",40,5035
Modern and Contemporary Art and Design Specialization,4.8,Beginner level,Flexible schedule,"Develop a deeper understanding of artists’ and designers’ processes, including modes of experimentation and responses to technological innovation.Develop critical thinking and looking skills to understand how artists and designers respond to the social and cultural issues of their time.Gain confidence in looking at and talking about modern and contemporary art and design, and find inspiration from art all around you.Better comprehend the choices you make about fashion with respect to expression, identity, and issues such as labor practices and sustainability.","Design, Art, History, Photography, Museums",80,2393
Game Design: Art and Concepts Specialization,4.7,Beginner level,Flexible schedule,Ways to create and describe a game conceptEvaluation and interpretion of different story styles Concepts and approaches involved in creating successful character designs,"Interactive Storytelling, Game Design Document, Video Game Design, Game Design",40,2491
The DIY Musician Specialization,4.7,Beginner level,Flexible schedule,"Tools and techniques to write more compelling songs.Develop your identity and vision as an artist.Use ProTools to record and produce your original music.Strategies to plan, launch, and manage a successful crowdfunding campaign.","Social Media, Songwriting, Music production, Crowdfunding, Music recording",40,443
Music Production Specialization,4.8,Beginner level,Flexible schedule,"Identify and use reference tracks to establish a vision for your productionUse the Production Check-List to run an efficient and well-organized recording sessionEdit your tracks while using your reference tracks and emotional and dynamic timelines to realize your vision for your productionEvaluate your mix by crtically listening to it on different sound systems (ear buds, in the car, sound system, computer, etc.)","Audio Editing, Music, Sound Design, Audio Recording, Music production",40,1815
The Business of Music Production Specialization,4.9,Beginner level,Flexible schedule,"The structure of the recording music industry and to read and interpret recording contractsHow to earn money with your recorded music by leveraging copyright lawCast a clear vision for a recording project and how to use the right tools to achieve your visionHow to record, edit, and mix a production using the industry standard digital audio workstation, Pro Tools","Copyright, Pro Tools, Music production, Music recording, Contracts",40,602
The Singer Songwriter Specialization,4.8,Beginner level,Flexible schedule,"The basics of playing the guitar, including chords, scales, strumming and picking patterns.How to sing in your preferred genre and style healthfully, using proper breathing and vocal techniques.Basic songwriting tools and techniques to augment your songwriting.How to record, edit, and mix music productions that include MIDI and audio to create professional sounding recordings of your music.  ","Guitar, Singing, Ableton, Songwriting, Music production",80,448
"Songwriting: Writing, Arranging, and Producing Music Specialization",4.8,Beginner level,Flexible schedule,Generate lyrics that effectively convey the emotions you want to expressCreate melodies and accompaniment that support your lyricsDevelop balanced arrangements for live and recorded performancesProduce song demos using a DAW,"Music, arranging, Songwriting, Producing",40,196
Fundamentals of Graphic Design,4.8,Beginner level,Flexible schedule,"Implement the fundamentals of color: visual, rhythm, and pattern in design Use scale, weight, direction, texture, and space in a composition Typeset text and experiment with letter formsCreate your own series of images using different image making techniques  ","Creativity, Graphics, Design Theory, Color Theory",15,16929
Photography Basics and Beyond: From Smartphone to DSLR Specialization,4.8,Beginner level,Flexible schedule,Not specified,"Social Media, Photography, Writing, Copywriting",80,5195
